conference,num_autores
"Asia International Conference on Modelling and Simulation",1251
ESOP,1243
"IEEE VAST",1243
CSEE&T,1242
DASC,1241
"CIS (1)",1234
POLICY,1232
"Rendering Techniques",1227
SI3D,1225
NPC,1224
"IEEE International Workshop on Rapid System Prototyping",1222
GPC,1222
"Pacific Conference on Computer Graphics and Applications",1221
CollaborateCom,1221
CHES,1220
"OTM Conferences (1)",1216
BNCOD,1215
WINE,1214
NLDB,1213
WEBIST,1209
NordiCHI,1208
3DPVT,1205
TRECVID,1201
ICB,1200
SERA,1200
DCAI,1199
"FSKD (4)",1199
"CIS (2)",1198
MobiHoc,1195
CRIWG,1193
"GIL Jahrestagung",1193
"Mobile Data Management",1191
"ACM Symposium on Document Engineering",1190
BIC-TA,1186
CONIELECOMP,1184
ICNS,1183
ICFEM,1181
"EUSFLAT Conf.",1180
LPAR,1179
OZCHI,1179
EMSOFT,1179
ALT,1179
FASE,1177
"FSKD (3)",1175
INFORSID,1167
CompSysTech,1167
ICCBR,1165
"ACCV (2)",1165
EuroGP,1164
MoMM,1161
BSN,1159
"ACM SIGOPS European Workshop",1154
"Developments in Language Theory",1150
SPLC,1150
VECPAR,1150
SPIRE,1145
IPCO,1144
DMIN,1142
PETRA,1141
ReConFig,1135
PROFES,1134
WABI,1132
OPODIS,1127
ICSEA,1125
PervasiveHealth,1124
ICFP,1119
ISC,1119
IHM,1119
ITCC,1118
CIBCB,1113
EPIA,1112
VL/HCC,1109
ACRI,1108
ICAIL,1108
EKAW,1108
CoNEXT,1102
WSCG,1102
SWAT,1100
"Public Key Cryptography",1099
"ISCAS (6)",1098
NOSSDAV,1098
"ISCA PDCS",1096
SECRYPT,1095
TRIDENTCOM,1095
ICAPS,1095
SAS,1093
ICVGIP,1092
ICMENS,1092
ICCS,1092
SimuTools,1091
"COMPSAC (1)",1089
AIRS,1087
"Business Process Management Workshops",1087
EC-Web,1086
"IGARSS (5)",1082
PRO-VE,1079
IEEM,1078
CEC,1077
COMSWARE,1074
SIROCCO,1073
IWQoS,1072
CC,1072
ISPDC,1070
ELPUB,1068
"Multimedia Information Retrieval",1067
CCIA,1066
