conference,num_publicacoes,num_autores
PReMI,387,1051
"Intelligent Vehicles Symposium",387,1397
"Conf. Computing Frontiers",386,1315
IEEM,385,1078
EC-TEL,384,1353
NBiS,384,1275
APPROX-RANDOM,383,945
RSFDGrC,383,937
ICNS,383,1183
ASIAN,383,961
WHC,382,1288
"Mobile Data Management",382,1191
SiPS,382,1288
SimVis,381,993
ECRTS,381,1040
DASC,380,1241
CollaborateCom,380,1221
VRCAI,379,1350
MoMM,379,1161
"Congress on Evolutionary Computation",379,1015
MMB,378,734
VECPAR,375,1150
WABI,375,1132
EMSOFT,375,1179
CEC,375,1077
EC-Web,374,1086
"Color Imaging Conference",374,890
"Mensch & Computer",374,1003
CSFW,374,730
HPCS,374,1059
"HICSS (4)",373,820
"ISCAS (6)",372,1098
NOSSDAV,371,1098
FECS,371,842
CONPAR,371,788
ILP,370,912
AIPR,370,1034
IMCSIT,369,977
CRIWG,369,1193
"IEEE International Workshop on Rapid System Prototyping",366,1222
ICISC,365,1057
BIC-TA,365,1186
IDA,364,991
IMSA,363,976
ICCI,363,745
INDOCRYPT,362,924
NPC,362,1224
"Rough Sets and Current Trends in Computing",361,789
ICB,360,1200
"SIGSOFT FSE",358,991
CONIELECOMP,358,1184
HEALTHINF,358,1332
CIG,358,957
KES-AMSTA,358,991
DBTA,357,978
OR,357,779
CIBCB,356,1113
ENTER,355,981
"ACCV (1)",355,1030
"Business Process Management Workshops",355,1087
"HICSS (1)",354,872
POLICY,354,1232
ICMB,354,1021
GPC,354,1222
BIOSIGNALS,354,1412
ICCC,353,679
ISPDC,353,1070
ICMENS,353,1092
"Selected Areas in Cryptography",353,847
ICMCS,353,1016
Wissensmanagement,352,825
ISPW,351,616
SAT,351,837
"Artificial Intelligence and Applications",350,933
"International Conference on Supercomputing",348,999
FQAS,347,926
ISSTA,347,950
SEAL,346,974
IWQoS,346,1072
DeLFI,345,934
"Parallel and Distributed Computing and Networks",343,935
"COMPSAC (2)",343,951
FGCS,343,835
COMSWARE,343,1074
"CSSE (5)",343,884
3DIM,343,985
ACSC,343,825
ICDMA,342,1042
OOIS,342,796
"ICC (3)",342,878
ICEEI,341,1038
"ISDA (1)",341,1021
PROLAMAT,341,953
SCAI,341,648
AIRS,340,1087
"BCS HCI",340,863
SimuTools,340,1091
"ICPP (3)",339,794
LOPSTR,338,789
NIME,338,709
MoDELS,338,1014
"Australian Software Engineering Conference",336,854
"Software Engineering",336,760
ERSA,336,1019
ANLP,335,786
IBERAMIA,335,954
WiOpt,334,948
AVBPA,334,1008
CDVE,334,1032
CoNEXT,334,1102
I3E,333,843
QEST,333,917
PEPM,333,711
"Multimedia Information Retrieval",333,1067
MIPRO,331,987
ANTS,331,592
CORIA,331,792
"Information Hiding",331,874
TABLEAUX,330,598
"IFSA/EUSFLAT Conf.",330,847
"ICC (2)",330,840
ESEM,329,1028
SoCPaR,328,995
"ER (Workshops)",327,903
DS-RT,327,937
"ICAART (1)",327,865
CCIA,326,1066
RecSys,326,951
CSC,326,741
SEFM,326,808
"ICALP (1)",326,851
"ICC (1)",325,770
IMR,324,850
RIVF,324,910
IPMU,324,679
PSTV,324,705
DCAI,323,1199
EJC,323,798
APLAS,322,729
MLDM,322,866
"International Conference on Computational Science (4)",322,1015
EMO,321,892
iConference,319,749
EURO-DAC,319,831
Wirtschaftsinformatik,319,803
AGILE,318,578
"International Conference on Evolutionary Computation",317,735
CTW,317,742
INCoS,317,1006
CT-RSA,317,804
"ICASSP (1)",317,953
ETRA,315,961
ReConFig,315,1135
ICWSM,314,985
"ITCC (2)",314,894
"Great Lakes Symposium on VLSI",313,872
ASYNC,313,957
TARK,313,557
PPDP,312,709
AMS,312,928
MSV,312,859
"IEEE Pacific Rim Conference on Multimedia",311,926
PSIVT,310,963
VISUAL,310,890
"HICSS (2)",310,715
"DIGRA Conf.",310,569
MedInfo,309,1294
"Symposium on Solid Modeling and Applications",309,756
PETRA,309,1141
"EUC Workshops",309,1010
"HICSS (3)",308,703
PARELEC,308,797
ICDCN,308,870
PWC,308,893
"ICCV Workshops",306,1005
COSIT,306,604
"IEEE VAST",306,1243
FMCAD,306,899
SCCC,306,844
"AINA (2)",305,903
APGV,305,1050
ICES,305,941
ICARIS,305,862
ICDCIT,304,778
"Ershov Memorial Conference",304,683
HCC,304,707
"IEEE Real-Time and Embedded Technology and Applications Symposium",304,1062
IQ,303,623
"CSSE (1)",302,896
ICT,300,894
SEDE,300,795
ICMAS,300,700
MCIS,299,708
TCC,299,772
PLILP,299,573
ATVA,298,842
SBBD,298,849
COORDINATION,298,746
ICN,298,885
"HCI (9)",298,945
IS&N,298,810
VMCAI,297,712
"HCI (4)",297,936
ARC,297,1026
FTDCS,296,815
"Australian Joint Conference on Artificial Intelligence",296,677
ICFIE,296,868
PADL,296,721
ICSR,295,885
"OTM Conferences (2)",295,930
IWDW,294,874
LATA,294,647
"ICNC (3)",293,878
CloudCom,293,1061
"Robotics: Science and Systems",293,860
ACNS,292,846
INEX,292,861
"Digital Mammography / IWDM",292,1461
INFOVIS,292,783
DCOSS,292,1053
SBRN,291,823
Diagrams,291,644
"INTERACT (2)",291,952
"IEEE Real Time Technology and Applications Symposium",291,835
ISSS,291,869
SKG,291,954
EMS,290,872
"Shape Modeling International",290,831
BIODEVICES,289,1296
"PCM (2)",289,985
ICIW,289,884
DNA,288,877
WCNIS,288,870
GRAPP,288,870
ICATPN,288,691
ACSD,288,782
AICT,288,899
RCIS,288,838
DSV-IS,287,719
"Software Engineering (Workshops)",287,702
IbPRIA,287,911
"World Congress on Engineering",286,728
"IEEE PACT",286,850
"IEEE METRICS",285,749
"Mobility Conference",284,876
AIAI,284,877
"ER Workshops",283,804
LWA,283,699
"ITCC (1)",283,787
"AAMAS (2)",282,857
NDSS,282,861
ISHPC,282,914
ICE-B,282,782
RTSS,282,907
ICVS,282,925
ASIACCS,282,884
GMDS,282,950
MobiQuitous,281,916
BSN,280,1159
WSDM,280,952
"ICIAR (1)",280,763
MDM,280,881
SIGMAP,280,877
SETN,279,781
"CSSE (2)",277,831
CoopIS,277,723
CIA,277,726
"ICPP (2)",276,653
EMMCVPR,276,736
KSEM,276,849
EUROCON,275,904
"ICSE Companion",275,806
"HCI (10)",275,744
Informatiktage,275,403
GRAPHITE,274,731
PervasiveHealth,274,1124
"IGARSS (5)",273,1082
Software-Ergonomie,273,530
ASONAM,272,825
FME,272,605
CPAIOR,272,688
"CSREA EEE",272,695
"ECCV (3)",271,774
"Int. Conf. Interaction Sciences",271,799
ICEB,270,659
"HCI (6)",270,889
"ECCV (4)",270,808
"HCI (3)",270,912
"ACL (Short Papers)",269,729
"HCI (8)",269,839
"ICIRA (1)",269,930
"Panhellenic Conference on Informatics",268,806
"CSSE (4)",268,793
"Evolvable Hardware",268,760
ISPASS,268,911
SAMOS,268,921
MMNS,268,839
